TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,TP_ANO_CONCLUIU,TP_ESCOLA,CO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q006
19 anos,F,Parda,Brasileiro(a),2019,Não Respondeu,4106902,41,PR,Presente,Presente,Presente,Presente,645.6,664.2,608.7,709.7,880.0,K
17 anos,M,Branca,Brasileiro(a),Não informado,Pública,4216602,42,SC,Presente,Presente,Presente,Presente,460.9,435.1,500.7,442.0,580.0,E
17 anos,F,Parda,Brasileiro(a),Não informado,Pública,2211001,22,PI,Presente,Presente,Presente,Presente,411.3,396.2,352.3,511.6,0.0,B
19 anos,F,Parda,Brasileiro(a),2018,Não Respondeu,2106508,21,MA,Presente,Presente,Presente,Presente,524.1,502.5,486.4,451.7,580.0,B
17 anos,M,Branca,Brasileiro(a),Não informado,Privada,3170206,31,MG,Presente,Presente,Presente,Presente,638.1,753.0,626.7,770.1,880.0,L
17 anos,F,Branca,Brasileiro(a),Não informado,Pública,3510203,35,SP,Presente,Presente,Presente,Presente,503.0,422.4,534.6,525.4,600.0,C
Entre 31 e 35 anos,M,Preta,Brasileiro(a),Antes de 2007,Não Respondeu,3143302,31,MG,Presente,Presente,Presente,Presente,454.2,369.2,478.2,464.4,720.0,D
18 anos,F,Preta,Brasileiro(a),Não informado,Pública,5300108,53,DF,Presente,Presente,Presente,Presente,391.2,402.8,498.4,489.2,560.0,G
17 anos,M,Amarela,Brasileiro(a),Não informado,Pública,4115200,41,PR,Presente,Presente,Presente,Presente,617.9,413.2,527.7,709.0,600.0,I
20 anos,F,Parda,Brasileiro(a),2019,Não Respondeu,2919207,29,BA,Presente,Presente,Presente,Presente,425.9,401.3,456.7,558.6,660.0,G
Entre 26 e 30 anos,M,Parda,Brasileiro(a),2009,Não Respondeu,3113404,31,MG,Presente,Presente,Presente,Presente,660.3,685.1,608.9,763.5,700.0,E
18 anos,F,Branca,Brasileiro(a)Naturalizado(a),2020,Não Respondeu,2708501,27,AL,Faltou,Faltou,Faltou,Faltou,,,,,,B
24 anos,F,Branca,Brasileiro(a),2014,Não Respondeu,2403251,24,RN,Presente,Presente,Presente,Presente,419.2,509.3,494.3,560.0,540.0,F
18 anos,F,Preta,Brasileiro(a),Não informado,Pública,3304144,33,RJ,Faltou,Faltou,Faltou,Faltou,,,,,,C
18 anos,M,Branca,Brasileiro(a)Naturalizado(a),Não informado,Pública,4307005,43,RS,Faltou,Faltou,Faltou,Faltou,,,,,,B
21 anos,F,Branca,Brasileiro(a),2018,Não Respondeu,1502400,15,PA,Presente,Presente,Presente,Presente,503.0,448.7,451.7,423.8,640.0,A
19 anos,M,Branca,Brasileiro(a),2020,Não Respondeu,4115200,41,PR,Presente,Presente,Presente,Presente,492.5,374.8,469.4,444.3,400.0,C
